STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-23,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-24,,,,,0.0,"T,,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-25,,,,,0.3,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-26,,,,,34.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-27,,,,,2.3,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-28,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-29,,,,,9.4,",,N",0.0,"T,,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-30,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-03-31,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-04-01,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-04-02,,,,,0.0,"T,,N",0.0,"T,,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-04-03,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-04-04,,,,,0.0,"T,,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-04-05,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-04-06,,,,,1.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-04-07,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-04-08,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-04-09,,,,,1.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-04-10,,,,,0.0,"T,,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-04-11,,,,,13.5,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-04-12,,,,,4.3,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-04-13,,,,,0.3,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-04-14,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-04-15,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-04-16,,,,,0.3,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-04-17,,,,,0.0,"T,,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-04-18,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-04-19,,,,,0.5,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-04-20,,,,,2.3,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-04-21,,,,,7.9,",,N",76.0,",,N",76.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-04-22,,,,,0.0,"T,,N",0.0,"T,,N",0.0,",,N"
